id,title,summary,source_type,source_name,source_url,publish_date,collected_at,topic_category,topic_subcategory,insurance_relevance,audience_fit,content_goal,heat_level,emotion_tags,recommended_angle,avoid_angle,risk_level,risk_note,title_idea_1,title_idea_2,title_idea_3,status,fingerprint,notes
TOPIC-001,延迟退休讨论升温,延迟退休相关讨论持续升温，普通家庭对养老现金流和退休规划的焦虑明显增加。,政策/新闻,综合媒体观察,https://example.com/topic/delay-retirement,2026-04-10,2026-04-10,养老,退休规划,高,中产家庭;年轻白领,专业背书;咨询转化,高,焦虑;共鸣,从普通家庭如何提前准备养老现金流切入，讲清社保养老与商业养老的互补关系。,不要直接宣传某类年金产品人人都适合，也不要用政策恐慌逼单。,中,涉及政策解读，建议避免绝对化结论和收益承诺。,延迟退休讨论背后，普通家庭真正该提前准备的是什么？,为什么越聊延迟退休，越多人开始重视养老现金流？,如果退休变晚，家庭保障要不要提前重配？,待审核,delay-retirement-2026-04-10,适合抖音、视频号做口播热点点评
TOPIC-002,年轻人体检异常增多,体检异常、结节、脂肪肝、尿酸高等问题频繁出现在年轻人讨论中。,健康/新闻,综合媒体观察,https://example.com/topic/young-health-check,2026-04-09,2026-04-10,健康,体检异常,高,年轻白领;宝妈家庭,涨粉;咨询转化,高,焦虑;风险提醒,从体检异常如何影响投保与核保切入，强调趁健康早规划。,不要直接暗示有异常就一定买不了保险，也不要承诺一定能正常承保。,中,涉及核保判断，需强调具体以实际核保结论为准。,体检报告上的小异常，为什么会影响你以后买保险？,30岁前不当回事的体检问题，可能正在悄悄抬高投保门槛,结节、脂肪肝、尿酸高，到底会不会影响买保险？,待审核,young-health-check-2026-04-09,适合小红书图文、抖音口播
TOPIC-003,猝死与熬夜风险讨论,猝死案例、长期熬夜和高压工作的话题引发广泛共鸣与焦虑。,社会/新闻,综合媒体观察,https://example.com/topic/sudden-death-overtime,2026-04-08,2026-04-10,健康,重疾风险,高,年轻白领;中产家庭,涨粉;专业背书,高,焦虑;共鸣;风险提醒,从重疾年轻化和收入中断风险切入，提醒健康管理和保障准备要同步。,不要利用极端个案制造恐慌，也不要用“再不买就晚了”这类逼单表达。,中,适合做风险教育，不宜过度煽动恐惧。,熬夜和高压工作背后，很多人忽略的不是健康，而是风险兜底,为什么越来越多年轻人开始重新看重疾和医疗保障？,猝死新闻刷屏后，普通人真正该补上的不是鸡汤,待审核,sudden-death-overtime-2026-04-08,适合案例分析型内容
TOPIC-004,医保改革讨论升温,医保支付、目录调整和用药报销相关讨论带动商业医疗保障认知。,政策/新闻,综合媒体观察,https://example.com/topic/medical-insurance-reform,2026-04-09,2026-04-10,健康,医保与商保互补,高,中产家庭;宝妈家庭;银发人群,专业背书;咨询转化,中,焦虑;理性分析,从医保能解决什么、不能解决什么切入，讲清商业医疗险的补位价值。,不要把医保说得一无是处，也不要直接说某类商业险一定更划算。,中,涉及政策解读和保障边界，表达要客观。,医保越来越重要，但为什么很多家庭还要补商业医疗保障？,看懂医保和商保的边界，才能少走很多保障弯路,医保能报，不代表家庭医疗风险就真的够了,待审核,medical-insurance-reform-2026-04-09,适合做专业解释型内容
TOPIC-005,年轻人开始担心父母养老问题,子女对父母养老、医疗和长期照护压力的讨论明显增加。,社会/新闻,综合媒体观察,https://example.com/topic/parents-retirement-pressure,2026-04-10,2026-04-10,家庭责任,父母养老,高,年轻白领;中产家庭,共鸣涨粉;咨询转化,高,共鸣;责任;焦虑,从“给父母做保障”和“自己未来养老准备”双线切入。,不要把孝顺和买保险简单绑定，也不要道德绑架式表达。,低,适合做家庭责任与养老规划结合内容。,开始担心父母养老的那一刻，很多人才第一次认真看保障配置,我们替父母焦虑养老时，真正缺的可能不是建议，而是准备,给父母做养老和医疗规划，普通家庭可以先看这3步,待审核,parents-retirement-pressure-2026-04-10,适合情绪共鸣类短视频
TOPIC-006,极端天气导致车辆和财产受损,暴雨、冰雹、台风等极端天气造成车辆和家庭财产损失的讨论升温。,社会/新闻,综合媒体观察,https://example.com/topic/extreme-weather-loss,2026-04-10,2026-04-10,意外,车险与财产险,高,有车家庭;中产家庭,涨粉;咨询转化,高,风险提醒;共鸣,从车损、涉水、家财损失和责任边界切入，帮助用户理解保障范围。,不要脱离条款承诺“这种情况一定赔”，也不要贬低其他公司理赔。,中,理赔责任边界复杂，需提醒以条款和事故情形为准。,暴雨之后，很多车主才发现自己根本没搞懂车险怎么赔,极端天气越来越多，家里的风险管理真的不能只靠运气,车被淹、家被泡，哪些损失能赔，哪些要自己扛？,待审核,extreme-weather-loss-2026-04-10,适合本地化热点切入
TOPIC-007,网红旅游险理赔翻车引发讨论,旅游险理赔争议案例带动公众对条款细节和责任免除的关注。,案例/社媒,综合媒体观察,https://example.com/topic/travel-insurance-claim,2026-04-08,2026-04-10,理赔,旅游险理赔,高,年轻白领;亲子家庭,专业背书;咨询转化,中,争议;风险提醒,从条款阅读、责任免除、理赔资料准备切入，建立专业信任。,不要攻击同行或保险公司，也不要借个案全盘否定某类产品。,中,适合做理赔教育，不适合情绪化带节奏。,拆解一次旅游险理赔争议：问题到底出在条款、材料还是预期？,别等出事才看条款，旅游险最容易踩坑的3个地方,买旅游险只看价格的人，最后为什么最容易和理赔吵起来？,待审核,travel-insurance-claim-2026-04-08,适合直播复盘和图文拆解
TOPIC-008,中产家庭负债与收入中断焦虑,房贷、教育、家庭支出压力带动中产对收入中断和家庭责任保障的关注。,财经/社会,综合媒体观察,https://example.com/topic/middle-class-liability,2026-04-09,2026-04-10,家庭责任,收入中断,高,中产家庭;企业主,共鸣涨粉;咨询转化,高,焦虑;责任;现实压力,从家庭现金流、负债和寿险/重疾险的责任补位角度切入。,不要用“中产最怕一场病返贫”这类过度刺激性表达逼单。,中,涉及情绪敏感表达，建议克制。,背着房贷和孩子教育费，普通家庭最怕的其实不是花钱，而是断收入,为什么很多中产开始重新理解寿险和重疾险的意义？,一个家庭的抗风险能力，往往是在收入中断时被看见,待审核,middle-class-liability-2026-04-09,适合家庭责任类深度口播
TOPIC-009,女性健康与甲状腺乳腺结节讨论,女性群体对甲状腺、乳腺结节及其对投保影响的关注度持续较高。,健康/社媒,综合媒体观察,https://example.com/topic/women-nodules,2026-04-07,2026-04-10,健康,女性健康,高,宝妈家庭;年轻白领,咨询转化,中,焦虑;共鸣,从女性常见体检问题和核保差异切入，帮助用户建立正确预期。,不要直接判断疾病严重程度，也不要承诺“我能帮你搞定承保”。,中,医疗和核保表达要谨慎。,甲状腺结节、乳腺结节，买保险到底最容易卡在哪里？,很多女性不是不想买保险，而是体检之后才发现要更早规划,体检单上最常见的几个词，为什么会影响投保？,待审核,women-nodules-2026-04-07,适合女性客群内容矩阵
TOPIC-010,企业主开始关注老板险与责任风险,小企业主和个体经营者开始关注经营风险、雇主责任和个人保障的结合。,财经/行业,综合媒体观察,https://example.com/topic/business-owner-risk,2026-04-06,2026-04-10,财务波动,企业主保障,中,企业主,专业背书;咨询转化,中,责任;风险提醒,从企业经营不确定性、家庭现金流和企业主个人风险隔离切入。,不要把复杂责任险讲成万能兜底，也不要过度承诺经营风险都能转移。,中,适合细分客群定向内容。,做老板之后才懂，很多风险根本不是靠拼命就能扛过去的,企业主最容易忽略的，不是挣钱能力，而是风险隔离能力,如果家庭收入主要靠你，企业主保障应该先补哪一块？,待审核,business-owner-risk-2026-04-06,适合高客单价客群筛选
